Name,Goals,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Big chances created,Crosses,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Demarai Gray,-0.12158498168690601,-0.5580867597531027,0.16054851641338322,-0.3744947589251801,-0.26568593573787624,-0.23988858084673156,0.38890640110061514,0.3104872386699599,-0.25248440622378476,-0.2560375471700421,0.032656800800458734,-0.7499851813959754,-0.7828357769876373,-0.868532880375071,-0.38779250476908567,0.5106367681509104,-0.8943922442112395,-0.7086831117379785,-0.7652050533511978,-0.38761765796559106,-0.3003072508270702,-0.2699683027712262,0.1790416662647799,0.9681997071890706,-0.6853026491281934,-0.0815442599817795,-0.32659136815408807,-0.22332215711304512,-0.011530337754685939,-1.1416755009906652,0.010455026654118738,0.3848628710032146,0.05711090769469686,-0.6634398453832725,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,-0.7660206393448423,-0.4671770020615892,-1.2364355758365768,-0.20170226066001645
Youri Tielemans,0.2321260568733335,0.18454216861517944,0.12175517217900166,0.2554941650059796,-0.26568593573787624,-0.23988858084673156,1.2182617562618674,0.8215225262161597,0.2711468566647834,-0.11373737790483819,-0.44915476799870196,-0.7499851813959754,-0.7828357769876373,0.20618540872296875,-0.38779250476908567,1.5188467952844857,-0.3670991391102853,-0.6262641895223907,-0.6332779224519022,-0.38761765796559106,0.9721254236051347,0.5225144175386567,0.7203718495696425,0.6130042220037386,-0.16685299480742652,0.018480663487554606,-0.32659136815408807,-0.5416628801076292,1.8657541700511837,1.2204474971762083,1.8877233293855762,0.5112513319739934,3.229469227100838,0.47002363759186006,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,-0.45218862386055136,-0.4671770020615892,0.21323233655164053,-0.5979342025106177
James Maddison,0.8839132775450791,-0.5580867597531027,1.4761488861011067,0.06220798161774847,0.41049222430774873,7.697780695046482,1.9202909212511536,1.28327941103469,0.01563671770454251,0.22654563555543195,0.9306917175943396,-0.7499851813959754,-0.7828357769876373,0.4584416026826081,-0.38779250476908567,2.764853185108666,-0.8797347737201938,-0.7931639290055436,-0.7760576015758184,-0.38761765796559106,0.48549427519284866,1.1775786461877233,1.0113099378700783,1.7137218862393924,-0.6131705233096519,0.01088732906269138,-0.32659136815408807,-0.5416628801076292,1.149174862111405,0.7079586349044884,2.273818279316694,3.056355107704738,4.3203971241460595,0.12560176867785272,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,-0.13003656554793885,1.1759845542996403,0.4005962641482891,-0.22355174207701678
Marc Albrighton,-0.20964983670464002,-0.2587324630465084,0.024501160354203105,-0.3709011406666873,-0.26568593573787624,0.2908276788786869,0.14891999525098787,0.045079958518266565,-0.4692307512388827,-0.10853703949315305,-0.1424867733505097,-0.7499851813959754,-0.7828357769876373,0.5898671238440247,-0.38779250476908567,0.2543825216989728,0.2859696882265936,-0.5068723639393267,-0.6522913314252694,-0.38761765796559106,0.7219451897428992,0.32242412607119264,0.8187178273732822,1.0667926604412483,-0.6071734919189243,-0.1626645098386,-0.32659136815408807,-0.5416628801076292,1.1262364820761235,-0.6638693750425367,1.4845256131230697,3.0291830062546805,0.48594652959713597,-0.2550440360858297,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,0.16657489617540722,-0.02772681838358594,-0.25666099919545093,-0.3399976217218825
Harvey Barnes,0.4549749619724316,-0.5580867597531027,0.988684328069445,-0.17117162061571944,-0.26568593573787624,-0.23988858084673156,1.5337429271872762,1.5580089077230608,0.4162255294416711,-0.784581033012228,1.4337141258611763,-0.7499851813959754,-0.7828357769876373,-0.983581379297355,-0.38779250476908567,1.6359312697909156,-1.063281733631457,-0.7858863001542088,-0.7444396512304042,-0.38761765796559106,-0.27596865569953155,0.07608517660977678,0.33938014051176346,1.5437934989713953,-0.258900547469289,0.08466256773794109,-0.32659136815408807,-0.5416628801076292,1.8759593242819048,-0.8439269406201697,0.6636378364961941,-0.13172596356462823,0.5882753710966154,-0.7685088724503059,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,-1.462574624931927,-0.4671770020615892,-0.5730975770748422,-0.12235414393512077
Hamza Choudhury,-0.5565539615380113,-0.5580867597531027,-0.28651856416878735,-0.5290203440403702,-0.26568593573787624,-0.23988858084673156,-0.47533635745218306,-0.4660792219323396,0.6705529185463376,-0.784581033012228,-0.37241836949304413,-0.7499851813959754,-0.7828357769876373,0.18708549856865822,-0.38779250476908567,-0.4015991879950631,0.712251390604561,-0.4497848049198371,-0.550415430642295,-0.38761765796559106,-0.08783789336234027,-0.2836649643323301,-0.03598533266423507,-0.6541796710898781,-0.4319629261519916,-0.5082915203432241,-0.32659136815408807,-0.5416628801076292,-0.2251991873298495,-0.4880410441376197,-0.4780399352502666,-0.7382526191850738,-0.343610764561472,-0.3979765346854834,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,-0.39757316434317974,2.5970972516931363,-0.25309872606586664,-0.7042403332510229
Matty James,-0.7977972612873638,-0.5580867597531027,-0.646353043661754,-0.5290203440403702,-0.26568593573787624,-0.23988858084673156,0.21372697975046942,-0.20810928527360711,0.13894421566611148,0.04598730188263547,0.29896421552788605,-0.7499851813959754,-0.7828357769876373,0.32459137731626875,-0.38779250476908567,0.4719738467564075,1.2478474773451484,-0.04601441911684386,-0.05318786867874147,-0.38761765796559106,0.6860336330617761,0.48062137442847264,0.39165661703688737,0.16581993113131152,0.4957750395720679,0.42266300730241474,-0.32659136815408807,-0.5416628801076292,-0.6826186292775085,-0.10867029154200776,-0.2870155722672483,0.781083589756672,-0.17427819717351115,-0.27887685468964757,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,-0.21162052836736686,2.232302697674716,0.16771925352788564,-0.7042403332510229
Adrien Silva,-0.7977972612873638,-0.5580867597531027,-0.646353043661754,-0.5290203440403702,-0.26568593573787624,-0.23988858084673156,0.06549823860803834,-0.35724815490443684,1.4222296347926682,-0.784581033012228,-0.638437884312658,-0.7499851813959754,-0.7828357769876373,0.6810556617129406,-0.38779250476908567,0.5934858854248453,0.38453022069794446,-0.834414018587268,-0.7617542430862263,-0.38761765796559106,0.6052913095434332,0.31621094109039316,1.3040634922021288,-0.003914252265522115,-0.13426473082154977,0.9091787915240058,-0.32659136815408807,-0.5416628801076292,0.03757368357625231,0.33057394037481613,-0.2870155722672483,-0.6943082403511937,1.1962572701227976,-0.039754241364674925,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,1.3520720923383334,-0.4671770020615892,-0.2682481733312417,-0.7042403332510229
Wilfred Ndidi,-0.3588135519073945,-0.24155639684203165,-0.20983252755553217,-0.36182872735836125,-0.26568593573787624,-0.23988858084673156,0.6486932857257999,-0.18855008925644912,-0.4607826690073875,0.6450857729543402,-0.31572568600689693,-0.7499851813959754,-0.7828357769876373,3.725080027723269,-0.38779250476908567,0.5277498645058544,2.0365411857277653,0.49177969499815777,0.4255507707043016,-0.38761765796559106,2.2487615954198654,2.4842050774234723,2.1486883251782944,0.6096330828000815,2.1255443947564623,2.5617373241586563,-0.32659136815408807,-0.19722865522824315,-0.4228771393958243,1.2725383614580268,-0.8019810681048934,-0.7350308318479816,0.44519099530467987,0.18536821895532266,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,0.6907070166955945,1.3914811518552115,2.1025161479027017,-0.4776862841321266
Dennis Praet,-0.18221091020280916,-0.5580867597531027,0.27184528332029867,-0.5290203440403702,-0.26568593573787624,-0.23988858084673156,-0.011171799913908738,-0.2646792013404735,0.653522703926711,0.4183110382148157,-0.638437884312658,-0.7499851813959754,-0.7828357769876373,0.08434115429029886,-0.38779250476908567,0.5306348309411707,-0.24469003688975097,-0.6422675352563698,-0.6544221444998708,-0.38761765796559106,-0.05978877771326089,-0.2152883046146058,0.1941211259491703,0.026813487832180592,-0.6309548232959474,-0.3826044976160806,-0.32659136815408807,-0.5416628801076292,0.521840928426195,-0.7217683124034218,0.44414664466775317,-0.3298729607116012,0.001258365140301809,-0.581608439046879,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,-0.5567113136265558,-0.4671770020615892,-0.14583367416390047,-0.5136224436475377
Rachid Ghezzal,-0.32800767756494054,-0.5580867597531027,-0.646353043661754,0.544525826233582,-0.26568593573787624,-0.23988858084673156,0.33230997266441425,0.01952372626818559,1.5611718155101297,1.0514121283343123,-0.12039988176919947,-0.7499851813959754,-0.7828357769876373,-0.6492895145043038,-0.38779250476908567,1.4568608970163759,-0.7741324132233027,-0.7858863001542088,-0.7257931676933652,-0.38761765796559106,-1.3022460835774146,-1.2867907839558836,-1.2945636839014072,-0.8950187150988987,-0.8512065385108387,-1.1341875022066763,-0.32659136815408807,-0.5416628801076292,-1.0427147857043888,-0.6293305023724766,0.6636378364961941,0.622609708971724,-0.5658597592581707,-0.9279239480002877,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,0.611375587793528,-0.4671770020615892,-0.16007580426093196,-0.7042403332510229
Nampalys Mendy,-0.7977972612873638,-0.5580867597531027,-0.646353043661754,-0.5290203440403702,-0.26568593573787624,-0.23988858084673156,-0.8279168102777051,-0.7334848487458481,0.551428814671076,-0.784581033012228,-0.638437884312658,-0.7499851813959754,-0.7828357769876373,-0.2601868082435608,-0.38779250476908567,-1.113205930418211,0.0045992792395676855,-0.49184285209934875,-0.6685823659319954,-0.38761765796559106,0.6052913095434332,0.09621857148176947,-0.048797564932984684,-0.04441900057613011,-0.4986607735727173,-0.39114521357733745,-0.32659136815408807,0.413359288876123,-1.0427147857043888,0.2544006570730349,-1.072337953419657,-0.7887442665825877,-0.19207735908645018,-0.2105561080253697,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,0.627087331829327,-0.4671770020615892,0.07146670474080548,-0.7042403332510229
Jamie Vardy,3.602344614422657,1.6175022134948225,3.4790732423562,2.05656268577436,4.115186650473214,-0.23988858084673156,1.764491894125086,2.4742898206217387,-0.2998340179248157,1.6720295349866643,2.9659392038066175,-0.7499851813959754,-0.7828357769876373,-0.859819401184837,-0.38779250476908567,0.7355351700654132,-0.9248158618867071,-0.6373611704980978,-0.5282980181179655,-0.38761765796559106,-1.3022460835774146,-1.2867907839558836,-1.2945636839014072,-0.8950187150988987,-0.8512065385108387,-1.1341875022066763,-0.32659136815408807,-0.5416628801076292,1.016426615835237,-1.1847245167613918,1.5085337217291044,-0.11500808515506124,-0.5658597592581707,-0.9279239480002877,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,-0.22923960014996628,1.1296983132753804,0.24842147338913262,4.356530397771084
Islam Slimani,1.0331775265538756,4.392772762702111,0.3777912441259202,-0.5290203440403702,0.9306292704966911,-0.23988858084673156,0.42808854386413886,0.5605295043622076,1.0024589830417465,1.004335380607478,1.6329595114548143,-0.7499851813959754,-0.7828357769876373,-1.1635846911089978,-0.38779250476908567,-0.5748991017716708,-1.2123048449187368,-0.7881585010172953,-0.7286618574682944,-0.38761765796559106,-1.3022460835774146,-1.2867907839558836,-1.2945636839014072,-0.8950187150988987,-0.8512065385108387,-1.1341875022066763,-0.32659136815408807,-0.5416628801076292,0.8962645181326593,-1.1198624196448412,-0.5085167566948507,-0.7128374941045106,-0.5658597592581707,-0.9279239480002877,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,-0.78898395755101,-0.4671770020615892,0.06232053494655822,1.4218822815570813
Kelechi Iheanacho,0.8043056780737208,0.7621424462349544,-0.3049716143991959,1.7373549043157512,-0.26568593573787624,-0.23988858084673156,0.5025829881305914,0.6943720796719267,-0.08856865717537322,-0.18827556180565927,0.7917012167261209,-0.7499851813959754,-0.7828357769876373,-1.2101161594684702,-0.38779250476908567,0.4719738467564075,-1.226391606682211,-0.7737678955510815,-0.7195776731810188,-0.38761765796559106,-1.3022460835774146,-1.2867907839558836,-1.2945636839014072,-0.8950187150988987,-0.8512065385108387,-1.1341875022066763,-0.32659136815408807,-0.5416628801076292,0.6377339442877196,-1.3558072495355022,0.3372150383923587,-0.7290505911386629,-0.5658597592581707,-0.9279239480002877,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,-0.78898395755101,-0.4671770020615892,-0.161252504468379,0.713174743287713
Ayoze Pérez,1.2581919843293088,0.7435999012070321,1.5227615433941626,0.15853169759575655,-0.0035719298774935272,-0.23988858084673156,1.0108311989725765,1.2011692468559187,-0.2929153153650238,0.19530295759407162,0.5780783239073739,-0.7499851813959754,-0.7828357769876373,0.18295235113618155,-0.38779250476908567,0.49108810003009434,-0.11282517536847321,-0.5718143424353405,-0.5928584058478451,-0.38761765796559106,-1.3022460835774146,-1.2867907839558836,-1.2945636839014072,-0.8950187150988987,-0.8512065385108387,-1.1341875022066763,-0.32659136815408807,-0.5416628801076292,0.061849828953345405,-0.8240246922028344,0.5336021968021228,-0.1751638323483228,-0.5658597592581707,-0.9279239480002877,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,-0.7984445006322026,-0.4671770020615892,0.7247498663366585,0.7243229517548718
Fousseni Diabaté,-0.7977972612873638,-0.5580867597531027,-0.646353043661754,-0.5290203440403702,-0.26568593573787624,-0.23988858084673156,-0.41476288269343825,-0.38707592883060277,2.9083963678001843,-0.784581033012228,0.017743585575722847,-0.7499851813959754,-0.7828357769876373,-0.654065112572776,-0.38779250476908567,-1.2291946946017198,-0.5023320520396376,-0.6125931143294876,-0.4833888817118573,-0.38761765796559106,-0.31315262047771564,0.35320328859146094,0.419375306915325,1.006004138945638,0.06126485309371089,0.04642413417105117,-0.32659136815408807,-0.5416628801076292,-0.03444554770912372,-1.0399953803743462,-1.072337953419657,-0.36911983698048034,-0.017645572339647274,-0.8003918875603022,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,-0.5869067573367348,-0.4671770020615892,-1.7754498490442252,0.03281550654911983
Loris Karius,-0.7977972612873638,-0.5580867597531027,-0.646353043661754,-0.5290203440403702,-0.26568593573787624,-0.23988858084673156,-0.9128114529320066,-0.804664763796926,-0.6676923334991525,-0.784581033012228,-0.638437884312658,2.6670478928579406,0.6598673249520192,-1.6521651088834572,-0.38779250476908567,-1.2291946946017198,-1.381345986080427,-0.8745021338145776,-0.8376720689155996,-0.38761765796559106,-1.3022460835774146,-1.2867907839558836,-1.2945636839014072,-0.8950187150988987,-0.8512065385108387,-1.1341875022066763,-0.32659136815408807,2.3563354257741014,-1.0427147857043888,-0.2953655535336413,-1.072337953419657,-0.8749684644460343,-0.5658597592581707,1.1169866762960299,1.8657450592517202,3.8975893545652815,3.661851380119305,1.651752213630158,1.9197301411544903,3.820111562712345,4.072648417834344,2.0321096044297255,-1.0096429692792415,-0.4671770020615892,-1.7694365052254786,-0.7042403332510229
Alisson,-0.7977972612873638,-0.5580867597531027,-0.646353043661754,-0.5290203440403702,-0.26568593573787624,-0.23988858084673156,-0.9128114529320066,-0.804664763796926,-0.6676923334991525,-0.784581033012228,-0.638437884312658,3.116557260485546,0.336586027861862,-1.6521651088834572,-0.38779250476908567,-1.2291946946017198,-1.381345986080427,-0.8745021338145776,-0.8376720689155996,-0.38761765796559106,-1.3022460835774146,-1.2867907839558836,-1.2945636839014072,-0.8950187150988987,-0.8512065385108387,-1.1341875022066763,-0.32659136815408807,1.8943356958509272,-0.8235258209228095,-0.2501030593488743,-1.072337953419657,-0.8749684644460343,-0.5658597592581707,1.1652653048733859,2.1451802938292905,1.4886256686165402,2.5903526895657674,0.8812927796349624,1.3117125554869464,3.3695725121616413,4.307080877322961,2.2354029723986146,-1.2722120450199288,1.1759845542996403,-1.9119266087566478,-0.7042403332510229
